source,headline,timestamp_utc,url,tone
yahoo.com,,2019-01-01T03:45:00,https://www.yahoo.com/entertainment/missouri-man-charged-apos-chilling-212150915.html,-8.55614973262032
finance.yahoo.com,,2019-01-01T03:45:00,https://finance.yahoo.com/news/opportunity-america-10-years-financial-021718855.html,-0.195694716242661
reuters.com,,2019-01-01T04:00:00,https://www.reuters.com/article/us-china-usa/cooperation-best-for-both-china-and-u-s-xi-tells-trump-idUSKCN1OV18J,2.32558139534884
reuters.com,,2019-01-01T04:00:00,https://www.reuters.com/article/us-new-year-usa-military/u-s-strategic-command-apologizes-for-tweet-about-dropping-bombs-idUSKCN1OV19D,-0.5
yahoo.com,,2019-01-01T04:15:00,https://www.yahoo.com/news/bangladesh-poll-landslide-raises-democracy-fears-analysts-023510686.html,-4.56490727532097
finance.yahoo.com,,2019-01-01T04:15:00,https://finance.yahoo.com/news/tropical-cyclone-barrels-toward-australia-233820669.html,-3.04568527918782
reuters.com,,2019-01-01T04:15:00,https://www.reuters.com/article/australia-weather-idUSL3N1Z1019,-2.58064516129032
reuters.com,,2019-01-01T04:30:00,https://www.reuters.com/article/us-northkorea-kimjongun/north-koreas-kim-says-new-path-inevitable-if-us-demands-unilateral-action-idUSKCN1OV18S,-0.151975683890577
reuters.com,,2019-01-01T04:30:00,https://www.reuters.com/article/us-brazil-politics/brazil-to-inaugurate-far-right-firebrand-bolsonaro-president-idUSKCN1OV1AU,-2.45098039215686
reuters.com,,2019-01-01T04:30:00,https://www.reuters.com/article/us-japan-security/car-crashes-into-new-years-crowd-in-tokyo-in-suspected-terror-attack-eight-injured-idUSKCN1OV1AY,-4.48717948717949
reuters.com,,2019-01-01T04:45:00,https://www.reuters.com/article/us-new-year-usa-new-york/times-square-awash-in-cold-rain-high-spirits-in-waning-hours-of-2018-idUSKCN1OU0NZ,1.17508813160987
reuters.com,,2019-01-01T04:45:00,https://www.reuters.com/article/southkorea-economy-trade-idUSL3N1YT1UX,-1.31578947368421
yahoo.com,,2019-01-01T04:45:00,https://www.yahoo.com/news/brazil-inaugurate-far-firebrand-bolsonaro-president-040421148.html,-2.73037542662116
yahoo.com,,2019-01-01T05:00:00,https://www.yahoo.com/news/trump-taunts-democrats-over-mexico-wall-negotiations-182810581.html,-2.61096605744125
marketwatch.com,,2019-01-01T05:00:00,https://www.marketwatch.com/press-release/commonwealth-hotels-appoints-michael-fay-field-director-of-sales-2018-12-31,4.40251572327044
marketwatch.com,,2019-01-01T05:00:00,https://www.marketwatch.com/investing/stock/fjta4,0.869565217391304
finance.yahoo.com,,2019-01-01T05:15:00,https://finance.yahoo.com/news/modi-misses-power-goal-1-032256599.html,1.02880658436214
finance.yahoo.com,,2019-01-01T05:30:00,https://finance.yahoo.com/news/osiris-rex-probe-goes-close-000155671.html,1.08303249097473
yahoo.com,,2019-01-01T05:30:00,https://www.yahoo.com/news/china-taking-advantage-taiwans-openness-warns-tsai-045946539.html,-1.00603621730382
yahoo.com,,2019-01-01T05:45:00,https://www.yahoo.com/news/netanyahu-says-israel-arabs-ally-against-iran-041636015.html,-1.11524163568773
reuters.com,,2019-01-01T05:45:00,https://www.reuters.com/article/us-new-year-usa-new-york/thousands-brave-rain-in-new-yorks-times-square-to-welcome-2019-idUSKCN1OU0NZ,1.93236714975845
yahoo.com,,2019-01-01T06:00:00,https://www.yahoo.com/news/xi-trump-vow-cooperation-diplomatic-anniversary-state-media-051233264.html,-1.75953079178886
yahoo.com,,2019-01-01T06:00:00,https://www.yahoo.com/news/congo-opposition-ruling-coalition-both-theyve-won-chaotic-085326371.html,-4.78199718706048
reuters.com,,2019-01-01T06:00:00,https://www.reuters.com/article/us-japan-security-idUSKCN1OV1AY,-5.3030303030303
reuters.com,,2019-01-01T06:00:00,https://www.reuters.com/article/us-brazil-politics-idUSKCN1OV1AU,-2.45098039215686
finance.yahoo.com,,2019-01-01T06:15:00,https://finance.yahoo.com/news/asia-jet-fuel-cash-discounts-narrow-market-eyes-103802572--finance.html,-0.680272108843538
yahoo.com,,2019-01-01T06:30:00,https://www.yahoo.com/news/north-korean-leader-says-path-043142770.html,-2.56410256410256
yahoo.com,,2019-01-01T06:30:00,https://www.yahoo.com/entertainment/road-rules-alum-veronica-portillo-215022480.html,1.66666666666667
reuters.com,,2019-01-01T06:45:00,https://www.reuters.com/article/us-macau-gambling-revenues/macau-casinos-rake-in-37-6-billion-gaming-revenue-in-2018-idUSKCN1OV1BR,-0.350877192982456
marketwatch.com,,2019-01-01T07:00:00,https://www.marketwatch.com/press-release/southern-company-closes-sale-of-gulf-power-to-nextera-energy-2019-01-01,0.552147239263804
marketwatch.com,,2019-01-01T07:00:00,https://www.marketwatch.com/press-release/the-tony-elumelu-foundation-opens-applications-for-fifth-cycle-of-100m-entrepreneurship-programme-2019-01-01,5.20325203252033
finance.yahoo.com,,2019-01-01T07:00:00,https://finance.yahoo.com/news/americans-taught-us-apos-risking-200057817.html,-0.963222416812609
marketwatch.com,,2019-01-01T07:00:00,https://www.marketwatch.com/press-release/nextera-energy-completes-acquisition-of-gulf-power-from-southern-company-2019-01-01,3.05010893246187
reuters.com,,2019-01-01T07:15:00,https://www.reuters.com/article/us-space-new-horizons/nasa-probe-believed-to-have-passed-distant-space-rock-on-landmark-mission-idUSKCN1OV1C8,-0.572519083969466
yahoo.com,,2019-01-01T07:30:00,https://www.yahoo.com/news/taiwan-tax-protesters-cite-french-yellow-vest-success-043253332.html,-5.90476190476191
